"id","video_id","title","description","channel_id","channel_name","publish_time","category","sub_category","duration","view_count","like_count","dislike_count","comment_count","is_available"
"41","MH78iBAKgRY","stop-motion","video by @AriaLowo !!!! from vivid/stasis https://store.steampowered.com/app/2093940/vividstasis/ also on soundcloud ...","UCexygOZm9iV4oXTH3On6PCA","Frums","2024-06-30T01:00:09Z","Film & Animation","Stop motion","200","58099","4686","0","520","1"
"42","JQ_x9rOIxUc","What rigs can you use for Stop Motion Animation? #jmanimation   #stopmotion #filmmaking",,"UCIypXEGTLF4D_xHAH6rU3Jw","JM Animation","2024-02-13T18:04:21Z","Film & Animation","Stop motion","61","40477","3256","0","22","1"
"43","-meJ8R2bNlY","5 ESSENTIAL Tools To Use In Stop Motion! #shorts #stopmotion #tipsandtricks","If you do stop motion animation or plan on to, Here are 5 Essential Tools To Use In Stop Motion that will help you out! Music used ...","UC2Yt60q-3i1til4CWpEbdWg","UnraveledPictures TM","2022-02-05T17:36:25Z","Film & Animation","Stop motion","56","66036","5164","0","60","1"
"44","LAbNxYbBC1Y","“What if Ratchet Survived?” | Cemetery Wind Hunt | TRANSFORMERS STOP MOTION","A transformers stop motion of a what if scenario where Autobot Ratchet Survives his encounter with Lockdown and Cemetery ...","UCleWkyLwHTTwupo_hTlBe1A","That Big Geek Stop Motion","2024-06-15T15:30:06Z","Film & Animation","Stop motion","136","5160","403","0","70","1"
"45","ftEQpEcU4v0","Stop Motion | ARTIST SUPPORT ITEM - Moved the hand model","Makuake↓ https://www.makuake.com/project/artist-support-item/ ※This page will be open to the public at 12:00 on Friday, ...","UCweDxCT5Fiykk3uHqPKqLWg","Animist","2022-12-18T11:00:32Z","Film & Animation","Stop motion","68","158454","12041","0","267","1"
"46","rx4WcUOpuy8","This Stop Motion is Insane","Source: https://www.instagram.com/oscaryaquian/ #shorts.","UCdC0An4ZPNr_YiFiYoVbwaw","Daily Dose Of Internet","2024-07-24T20:53:31Z","Film & Animation","Stop motion","39","11826987","880002","0","7335","1"
"47","9NcDT6ykxAo","How to setup your Green Screen for Stop Motion / JM ANIMATION #stopmotion #behindthescenes",,"UCIypXEGTLF4D_xHAH6rU3Jw","JM Animation","2023-05-24T14:28:24Z","Film & Animation","Stop motion","44","9199","669","0","12","1"
"48","56Ui6ljAy3w","STOP MOTION ANIMATION tricks! Plus ATOMSTACK X20 HOUSING REVIEW!","Reference ▻Replace ▻Repeat ▻Reconsider ▻Rectify Here are a handful of techniques you can use to make your own ...","UCzsjHlc0WRwZYwlinsmtM4w","TheCrafsMan SteadyCraftin","2023-05-26T22:43:38Z","Film & Animation","Stop motion","1053","59176","4269","0","214","1"
"49","O7Qi17h888M","Jujutsu Kaisen: Itadori Yuji’s Parkour Freerunning in Stop Motion","Animist - - - ""Animist"" is a person who believes that every material thing has a soul; a human being that worships Animism.","UCweDxCT5Fiykk3uHqPKqLWg","Animist","2021-11-21T11:00:08Z","Film & Animation","Stop motion","31","641425","44896","0","243","1"
"50","f8xsqFuSS_I","Voice acting by @Rapt0rsx  #anime #dbz #stopmotion #comedy #fyp",,"UCDfjJv_5XSk2tSOnZdHwKJQ","Melly G1","2022-09-14T02:10:27Z","Film & Animation","Stop motion","30","511436","35765","0","344","1"
